name,family,subfamily,score,aska_gs,aska_gio,aska_gq11,aska_g1213,gtop_gs,gtop_gio,gtop_gq11,gtop_g1213,merg_gs,merg_gio,merg_gq11,merg_g1213
5ht6r_human,Aminergic receptors,5-Hydroxytryptamine receptors,72.5,1,2,2,2,1,0,2,0,1,2,2,2
ccr3_human,Protein receptors,Chemokine receptors,58.7,0,0,0,0,0,1,0,0,0,1,0,0
5ht1a_human,Aminergic receptors,5-Hydroxytryptamine receptors,67.4,0,1,1,0,0,1,0,0,0,1,1,0
lt4r2_human,Lipid receptors,Leukotriene receptors,50.8,0,1,0,0,0,1,2,0,0,1,2,0
p2ry6_human,Nucleotide receptors,P2Y receptors,47.8,1,2,2,1,0,0,1,2,1,2,1,1
mtr1b_human,Melatonin receptors,Melatonin,44.1,0,1,0,0,0,1,0,0,0,1,0,0
acm5_human,Aminergic receptors,Acetylcholine receptors (muscarinic),60.2,0,2,1,0,0,0,1,0,0,2,1,0
lpar1_human,Lipid receptors,Lysophospholipid (LPA) receptors,55.1,0,2,1,1,0,1,1,1,0,1,1,1
ccr2_human,Protein receptors,Chemokine receptors,64.6,0,0,0,0,0,1,0,0,0,1,0,0
cxcr1_human,Protein receptors,Chemokine receptors,49.3,0,0,0,0,0,1,2,0,0,1,2,0
5ht1d_human,Aminergic receptors,5-Hydroxytryptamine receptors,69.6,0,1,2,0,0,1,0,0,0,1,2,0
gpr85_human,Orphan receptors,Class A orphans,54.4,0,0,0,0,0,0,0,0,0,0,0,0
gp150_human,Orphan receptors,Class A orphans,33.3,0,0,0,0,0,0,0,0,0,0,0,0
gpr15_human,Orphan receptors,Class A orphans,70.3,0,0,0,0,0,0,0,0,0,0,0,0
gp174_human,Orphan receptors,Class A orphans,52.9,1,0,0,2,0,0,0,0,1,0,0,2
grpr_human,Peptide receptors,Bombesin receptors,63,2,2,1,2,0,0,1,0,2,2,1,2
s1pr2_human,Lipid receptors,Lysophospholipid (S1P) receptors,44.9,0,2,2,1,1,0,1,1,1,2,1,1
mrgx1_human,Orphan receptors,Class A orphans,46.4,1,2,2,1,0,0,1,0,1,2,1,1
npbw2_human,Peptide receptors,Neuropeptide W/neuropeptide B receptors,53.6,0,0,0,0,0,1,0,0,0,1,0,0
